REFERENCE	 DEGRADED	 PESQMOS	 MOSLQO	 SAMPLE_FREQ	 MODE
/tmp/tmpw6t83b1n.wav	 /tmp/tmpcl2rt_pa.wav	 -1.000	 1.479	 16000	wb
/tmp/tmpnk1501fi.wav	 /tmp/tmp0qvoukl3.wav	 -1.000	 1.093	 16000	wb
/tmp/tmptuvg6t4o.wav	 /tmp/tmpsutys2y4.wav	 -1.000	 2.460	 16000	wb
/tmp/tmp8gpf3x2v.wav	 /tmp/tmp2exz2txv.wav	 -1.000	 1.025	 16000	wb
/tmp/tmp6ucj2cg7.wav	 /tmp/tmpl2vj349k.wav	 -1.000	 2.034	 16000	wb
/tmp/tmprvr8o45t.wav	 /tmp/tmphi5g5luh.wav	 -1.000	 1.097	 16000	wb
/tmp/tmpgrgl8bjk.wav	 /tmp/tmp__9j6cnq.wav	 -1.000	 1.601	 16000	wb
/tmp/tmpq_2h0ne4.wav	 /tmp/tmpgne37vc5.wav	 -1.000	 2.163	 16000	wb
/tmp/tmpmg08wq4n.wav	 /tmp/tmpqcnsgk05.wav	 -1.000	 1.377	 16000	wb
/tmp/tmpbjo5xab3.wav	 /tmp/tmp5z661afl.wav	 -1.000	 1.472	 16000	wb
/tmp/tmp2wr27e6h.wav	 /tmp/tmpt3cpknij.wav	 -1.000	 1.626	 16000	wb
/tmp/tmpoy9r6qkv.wav	 /tmp/tmpsdzoo8_r.wav	 -1.000	 1.062	 16000	wb
/tmp/tmpsgtj672o.wav	 /tmp/tmpnsgpxss3.wav	 -1.000	 1.173	 16000	wb
/tmp/tmpfd_hyqzd.wav	 /tmp/tmpfts2tp90.wav	 -1.000	 1.592	 16000	wb
/tmp/tmpg5tgaao3.wav	 /tmp/tmpyj31v7bj.wav	 -1.000	 2.051	 16000	wb
/tmp/tmpcbdpv06u.wav	 /tmp/tmpkgcw_nkv.wav	 -1.000	 1.165	 16000	wb
/tmp/tmpzk0sl5nf.wav	 /tmp/tmpvplhj738.wav	 -1.000	 1.246	 16000	wb
/tmp/tmpxne7gw1s.wav	 /tmp/tmp54ax3_tp.wav	 -1.000	 1.910	 16000	wb
/tmp/tmp34_gbopg.wav	 /tmp/tmpv4_i1qvr.wav	 -1.000	 1.123	 16000	wb
/tmp/tmpxj02hi_a.wav	 /tmp/tmpzlyko9fj.wav	 -1.000	 1.719	 16000	wb
/tmp/tmpdvwljwhl.wav	 /tmp/tmp1qavzwaa.wav	 -1.000	 1.225	 16000	wb
/tmp/tmphv_a8qp1.wav	 /tmp/tmpjt2s1z8u.wav	 -1.000	 1.046	 16000	wb
/tmp/tmpc93xqc9k.wav	 /tmp/tmpz4ttehb4.wav	 -1.000	 1.475	 16000	wb
/tmp/tmphk501vdr.wav	 /tmp/tmp6u5g4mfv.wav	 -1.000	 1.108	 16000	wb
/tmp/tmppj_8g3c3.wav	 /tmp/tmp4w2hfsx3.wav	 -1.000	 1.836	 16000	wb
/tmp/tmpq9wsju7v.wav	 /tmp/tmpuaczls4x.wav	 -1.000	 1.866	 16000	wb
/tmp/tmpugc4ehjq.wav	 /tmp/tmpyz3lyhxv.wav	 -1.000	 2.195	 16000	wb
/tmp/tmpuae7fuo3.wav	 /tmp/tmp4m7ha1qa.wav	 -1.000	 1.124	 16000	wb
/tmp/tmp1t2n2nuh.wav	 /tmp/tmp4u4t2e6m.wav	 -1.000	 1.383	 16000	wb
/tmp/tmpln1rfi9d.wav	 /tmp/tmp9qjqrx4n.wav	 -1.000	 1.145	 16000	wb
/tmp/tmp_ee9r3r0.wav	 /tmp/tmper06xhrf.wav	 -1.000	 1.406	 16000	wb
/tmp/tmp4kz4xk03.wav	 /tmp/tmpuzk0k_e7.wav	 -1.000	 1.131	 16000	wb
/tmp/tmpynxuhc2v.wav	 /tmp/tmpczl3_2on.wav	 -1.000	 1.169	 16000	wb
/tmp/tmplwbvl3kv.wav	 /tmp/tmpt17i63uy.wav	 -1.000	 1.284	 16000	wb
/tmp/tmpywzdvjao.wav	 /tmp/tmp__exjcjs.wav	 -1.000	 1.180	 16000	wb
/tmp/tmp2psgkd7q.wav	 /tmp/tmpmv_bu16b.wav	 -1.000	 1.031	 16000	wb
/tmp/tmpbf0wikfi.wav	 /tmp/tmpocip0m3p.wav	 -1.000	 1.071	 16000	wb
/tmp/tmp7ntha3kq.wav	 /tmp/tmppybth3e8.wav	 -1.000	 1.043	 16000	wb
/tmp/tmpbb7nu5zd.wav	 /tmp/tmppfzek860.wav	 -1.000	 1.090	 16000	wb
/tmp/tmpfrl1xgpn.wav	 /tmp/tmpqb52ijiu.wav	 -1.000	 1.036	 16000	wb
/tmp/tmperwvverg.wav	 /tmp/tmptnzfd452.wav	 -1.000	 1.041	 16000	wb
/tmp/tmp526741bt.wav	 /tmp/tmptdqiw3kc.wav	 -1.000	 1.043	 16000	wb
/tmp/tmp1eyizafh.wav	 /tmp/tmp4hnitm_n.wav	 -1.000	 1.035	 16000	wb
/tmp/tmpwykbksga.wav	 /tmp/tmpra5j26cz.wav	 -1.000	 1.026	 16000	wb
/tmp/tmpo7xcpgqb.wav	 /tmp/tmpdfzcv0i6.wav	 -1.000	 1.293	 16000	wb
/tmp/tmp67kp3omt.wav	 /tmp/tmpqjnvaivs.wav	 -1.000	 1.034	 16000	wb
/tmp/tmp606seyf5.wav	 /tmp/tmp8zrv79is.wav	 -1.000	 1.038	 16000	wb
/tmp/tmpx8_dwcuf.wav	 /tmp/tmp83kw4x6o.wav	 -1.000	 1.031	 16000	wb
/tmp/tmplvaparo8.wav	 /tmp/tmp7hb8_fd7.wav	 -1.000	 1.039	 16000	wb
/tmp/tmpcgu3gcdp.wav	 /tmp/tmpdoju0yzg.wav	 -1.000	 1.033	 16000	wb
/tmp/tmpa12qy8j6.wav	 /tmp/tmpzq140g1l.wav	 -1.000	 1.079	 16000	wb
/tmp/tmp_28os1nc.wav	 /tmp/tmph79gmzbb.wav	 -1.000	 1.030	 16000	wb
/tmp/tmp6ln2zbem.wav	 /tmp/tmpcun4own1.wav	 -1.000	 1.073	 16000	wb
/tmp/tmpgtk9kaa3.wav	 /tmp/tmpkhmfvirw.wav	 -1.000	 1.045	 16000	wb
/tmp/tmppv7g6us4.wav	 /tmp/tmpa960w0k8.wav	 -1.000	 1.089	 16000	wb
/tmp/tmpkdrveaej.wav	 /tmp/tmpvm4kxo_e.wav	 -1.000	 1.039	 16000	wb
/tmp/tmp4ovnox5q.wav	 /tmp/tmpcl2ve8h0.wav	 -1.000	 1.039	 16000	wb
